0 0 A 
0 0 B 
0 0 C 
0 0 D 
0 0 E 
0 0 F 
0 0 G 
0 0 H 
0 0 I 
0 0 J 
0 0 K 
1 1 A B 
1 1 A F 
1 1 A H 
1 1 A I 
1 1 A E 
1 1 A D 
1 1 A G 
1 1 A K 
1 1 A J 
1 1 A C 
1 1 B D 
1 1 B I 
1 1 B E 
1 1 B K 
1 1 B G 
1 1 B J 
1 1 B F 
1 1 B C 
1 1 B H 
1 1 C F 
1 1 C G 
1 1 C I 
1 1 C D 
1 1 C E 
1 1 C J 
1 1 C K 
1 1 C H 
1 1 D F 
1 1 D H 
1 1 D K 
1 1 D G 
1 1 D J 
1 1 D I 
1 1 D E 
1 1 E K 
1 1 E F 
1 1 E I 
1 1 E H 
1 1 E J 
1 1 E G 
1 1 F I 
1 1 F H 
1 1 F K 
1 1 F J 
1 1 F G 
1 1 G H 
1 1 G K 
1 1 G J 
1 1 G I 
1 1 H K 
1 1 H I 
1 1 H J 
1 1 I J 
1 1 I K 
1 1 J K 
2 2 A H K 
2 2 A I J 
2 2 A D J 
2 2 A C D 
2 2 A G J 
2 2 A B K 
2 2 A F H 
2 2 A I K 
2 2 A C I 
2 2 A D K 
2 2 A F K 
2 2 A E G 
2 2 A G K 
2 2 A B I 
2 2 A D I 
2 2 A G I 
2 2 A C E 
2 2 A H I 
2 2 A D H 
2 2 A B C 
2 2 A B H 
2 2 A F J 
2 2 A C H 
2 2 A C J 
2 2 A C K 
2 2 A J K 
2 2 A B D 
2 2 A D G 
2 2 A H J 
2 2 A E K 
2 2 A E J 
2 2 A B G 
2 2 A E H 
2 2 A C G 
2 2 A F G 
2 2 A D F 
2 2 A E I 
2 2 A D E 
2 2 A G H 
2 2 A B F 
2 2 A E F 
2 2 A B E 
2 2 A C F 
2 2 A B J 
2 2 A F I 
2 2 B D I 
2 2 B D F 
2 2 B H J 
2 2 B G J 
2 2 B C J 
2 2 B E G 
2 2 B G K 
2 2 B C H 
2 2 B E H 
2 2 B F J 
2 2 B G I 
2 2 B G H 
2 2 B F K 
2 2 B D E 
2 2 B H K 
2 2 B I K 
2 2 B D J 
2 2 B D H 
2 2 B J K 
2 2 B E K 
2 2 B C F 
2 2 B C E 
2 2 B E I 
2 2 B F I 
2 2 B C D 
2 2 B E J 
2 2 B H I 
2 2 B I J 
2 2 B C K 
2 2 B D K 
2 2 B E F 
2 2 B D G 
2 2 B C I 
2 2 B C G 
2 2 B F H 
2 2 B F G 
2 2 C D G 
2 2 C E J 
2 2 C E I 
2 2 C H J 
2 2 C F K 
2 2 C D H 
2 2 C E K 
2 2 C F G 
2 2 C E G 
2 2 C F I 
2 2 C I J 
2 2 C D I 
2 2 C H I 
2 2 C G I 
2 2 C J K 
2 2 C D K 
2 2 C G K 
2 2 C I K 
2 2 C G J 
2 2 C E F 
2 2 C G H 
2 2 C E H 
2 2 C D J 
2 2 C F J 
2 2 C D E 
2 2 C H K 
2 2 C D F 
2 2 C F H 
2 2 D E F 
2 2 D H J 
2 2 D E I 
2 2 D H I 
2 2 D E G 
2 2 D G I 
2 2 D E J 
2 2 D J K 
2 2 D F K 
2 2 D I J 
2 2 D G K 
2 2 D F J 
2 2 D I K 
2 2 D G J 
2 2 D F H 
2 2 D E H 
2 2 D H K 
2 2 D G H 
2 2 D F G 
2 2 D E K 
2 2 D F I 
2 2 E F I 
2 2 E H J 
2 2 E I J 
2 2 E F J 
2 2 E G K 
2 2 E F K 
2 2 E F G 
2 2 E I K 
2 2 E G H 
2 2 E G J 
2 2 E G I 
2 2 E J K 
2 2 E F H 
2 2 E H K 
2 2 E H I 
2 2 F H K 
2 2 F I J 
2 2 F H I 
2 2 F G I 
2 2 F G H 
2 2 F G J 
2 2 F G K 
2 2 F H J 
2 2 F J K 
2 2 F I K 
2 2 G H J 
2 2 G J K 
2 2 G H I 
2 2 G I J 
2 2 G I K 
2 2 G H K 
2 2 H J K 
2 2 H I J 
2 2 H I K 
2 2 I J K 
3 3 A D H I 
3 3 A C E I 
3 3 A D E G 
3 3 A C I J 
3 3 A B D J 
3 3 A B F H 
3 3 A B C I 
3 3 A B D H 
3 3 A C D I 
3 3 A E G J 
3 3 A C E H 
3 3 A E I J 
3 3 A E G I 
3 3 A C E J 
3 3 A H I K 
3 3 A B I J 
3 3 A G H J 
3 3 A F I J 
3 3 A D F I 
3 3 A E H I 
3 3 A C G H 
3 3 A B F I 
3 3 A D F H 
3 3 A C E F 
3 3 A B F K 
3 3 A C D J 
3 3 A C D G 
3 3 A B E G 
3 3 A B H J 
3 3 A B C F 
3 3 A B E F 
3 3 A B D K 
3 3 A B C K 
3 3 A F I K 
3 3 A H I J 
3 3 A C E K 
3 3 A E G K 
3 3 A C F I 
3 3 A B E K 
3 3 A B H I 
3 3 A B C G 
3 3 A H J K 
3 3 A E G H 
3 3 A D E K 
3 3 A E F J 
3 3 A C E G 
3 3 A B H K 
3 3 A B F J 
3 3 A B E H 
3 3 A C D H 
3 3 A D G I 
3 3 A B J K 
3 3 A C H J 
3 3 A B E I 
3 3 A D I J 
3 3 A C H I 
3 3 A E J K 
3 3 A G H K 
3 3 A E H J 
3 3 A B D I 
3 3 A B G J 
3 3 A C F H 
3 3 A F G H 
3 3 A B D G 
3 3 A B F G 
3 3 A C D K 
3 3 A B G I 
3 3 A D J K 
3 3 A F G I 
3 3 A B C H 
3 3 A B I K 
3 3 A B C D 
3 3 A F H K 
3 3 A C H K 
3 3 A G I K 
3 3 A E I K 
3 3 A D G J 
3 3 A F J K 
3 3 A D H K 
3 3 A G I J 
3 3 A D E H 
3 3 A C F G 
3 3 A F H I 
3 3 A D E J 
3 3 A D G H 
3 3 A B D E 
3 3 A F G K 
3 3 A E H K 
3 3 A G J K 
3 3 A F H J 
3 3 A B E J 
3 3 A E F I 
3 3 A B C J 
3 3 A B G K 
3 3 A D F K 
3 3 A D E F 
3 3 A I J K 
3 3 A E F H 
3 3 A D F G 
3 3 A D F J 
3 3 A E F G 
3 3 A E F K 
3 3 A C G J 
3 3 A C J K 
3 3 A G H I 
3 3 A D G K 
3 3 A C I K 
3 3 A F G J 
3 3 A D E I 
3 3 A B D F 
3 3 A C D E 
3 3 A C G I 
3 3 A D I K 
3 3 A C D F 
3 3 A B G H 
3 3 A D H J 
3 3 A C G K 
3 3 A B C E 
3 3 A C F J 
3 3 A C F K 
3 3 B C F J 
3 3 B E H J 
3 3 B C I K 
3 3 B C F I 
3 3 B G I J 
3 3 B G H J 
3 3 B D E G 
3 3 B E F I 
3 3 B F I K 
3 3 B H J K 
3 3 B F H I 
3 3 B G H I 
3 3 B F H J 
3 3 B G I K 
3 3 B C G K 
3 3 B C F K 
3 3 B I J K 
3 3 B C D H 
3 3 B E J K 
3 3 B E F G 
3 3 B E F K 
3 3 B C D I 
3 3 B D J K 
3 3 B C J K 
3 3 B C F G 
3 3 B H I K 
3 3 B D E H 
3 3 B F J K 
3 3 B C H K 
3 3 B D I K 
3 3 B C D J 
3 3 B C D G 
3 3 B E G J 
3 3 B D E F 
3 3 B D F J 
3 3 B H I J 
3 3 B E G I 
3 3 B F H K 
3 3 B D F I 
3 3 B C E K 
3 3 B C G H 
3 3 B C E G 
3 3 B D H K 
3 3 B G H K 
3 3 B C E I 
3 3 B D G H 
3 3 B D E I 
3 3 B E F H 
3 3 B E G K 
3 3 B D H J 
3 3 B F I J 
